domain,tier1_id,tier2_id
travel.aol.com,"IAB28","IAB28-19"
huffingtonpost.com,"IAB16","IAB16-11"
bing.com,"IAB26","IAB26-14"
zone.msn.com,"IAB29","IAB29-2"
shopping.aol.com,"IAB23","IAB23-5"
weather.aol.com,"IAB22","IAB22-10"
sports.yahoo.com,"IAB24",
uk.mail.yahoo.com,"IAB26","IAB26-14"
mail.aol.com,"IAB26","IAB26-14"
uk.news.yahoo.com,"IAB16","IAB16-10"
fr.sports.yahoo.com,"IAB24","IAB24-18"
aol.com,"IAB16","IAB16-10"
moviefone.com,"IAB14","IAB14-9"
tw.news.yahoo.com,"IAB16","IAB16-10"
frontier.yahoo.com,"IAB16","IAB16-10"
movies.yahoo.com,"IAB14","IAB14-9"
ca.yahoo.com,"IAB16","IAB16-10"
baseball.fantasysports.yahoo.com,"IAB24","IAB24-3"
chinese.engadget.com,"IAB26","IAB26-1"
huffpost.com,"IAB16","IAB16-10"
n.rivals.com,"IAB24","IAB24-1"
tw.mall.yahoo.com,"IAB23","IAB23-5"
yahoo.click108.com.tw,"IAB21","IAB21-1"
currently.att.yahoo.com,"IAB16","IAB16-10"
crunchbase.com,"IAB3","IAB3-12"
espanol.yahoo.com,"IAB16","IAB16-10"
news.yahoo.co.jp,"IAB16","IAB16-10"
money.yahoo.com,"IAB17","IAB17-4"
yahoo.co.jp,"IAB16","IAB16-10"
br.yahoo.com,"IAB26","IAB26-14"
ca.news.yahoo.com,"IAB16","IAB16-10"
huffingtonpost.jp,"IAB16","IAB16-10"
au.style.yahoo.com,"IAB25","IAB25-4"
edh.tw,"IAB13",
huffingtonpost.kr,"IAB16","IAB16-10"
tw.usedcar.yahoo.com,"IAB2","IAB2-3"
br.vida-estilo.yahoo.com,"IAB16",
br.financas.yahoo.com,"IAB16","IAB16-10"
finance.yahoo.com,"IAB3","IAB3-1"
w.main.welcomescreen.aol.com,"IAB16","IAB16-10"
ca.finance.yahoo.com,"IAB3","IAB3-1"
wmconnect.com,"IAB16","IAB16-10"
id.yahoo.com,"IAB26","IAB26-14"
br.noticias.yahoo.com,"IAB16","IAB16-10"
compuserve.com,"IAB16","IAB16-10"
es-us.deportes.yahoo.com,"IAB24","IAB24-18"
intheknow.com,"IAB10","IAB10-6"
yahooshopping.myguide.hk,"IAB27","IAB27-8"
hk.celebrity.yahoo.com,"IAB19","IAB19-1"
remixsearch.net,"IAB15","IAB15-6"
adrecover.com,"IAB3","IAB3-8"
readtokyorevengers.net,"IAB11","IAB11-10"
adaptmx.com,"IAB3","IAB3-8"
comick.fun,"IAB11","IAB11-10"
mangaeffect.com,"IAB1","IAB1-1"
pandrama.com,"IAB27","IAB27-8"
sharethrough.com,"IAB3","IAB3-8"
olevod.com,"IAB27","IAB27-8"
montevideo.com.uy,"IAB16","IAB16-9"
naruldonghua.com,"IAB1","IAB1-1"
manhwaz.com,"IAB11","IAB11-10"
readmha.com,"IAB11","IAB11-10"
leercapitulo.com,"IAB11","IAB11-10"
enhance.co.jp,"IAB3","IAB3-8"
manga4life.com,"IAB1","IAB1-1"
freewebnovel.com,"IAB1",
yoturkish.com,"IAB27","IAB27-8"
papayads.net,"IAB3","IAB3-8"
servicecentrelist.com,"IAB26","IAB26-8"
irtvs24.com,"IAB26","IAB26-14"
revnewdigital.com,"IAB3","IAB3-8"
mapion.co.jp,"IAB26","IAB26-14"
risecodes.com,"IAB3","IAB3-8"
aps.com,"IAB3","IAB3-2"
fulllengthaudiobooks.com,"IAB1",
alphacute.com,"IAB19","IAB19-1"
moneyonthestreet.com,"IAB17","IAB17-7"
mangaforest.com,"IAB11","IAB11-10"
thedailyhaze.com,"IAB16",
adnimation.com,"IAB3","IAB3-8"
globo.com,"IAB16","IAB16-10"
tagged.com,"IAB7","IAB7-1"
cults3d.com,"IAB26","IAB26-6"
funnyjunk.com,"IAB1","IAB1-4"
cooking4all.com,"IAB9","IAB9-12"
usssa.com,"IAB24",
crazydaysandnights.net,"IAB19","IAB19-3"
mangaclash.com,"IAB11","IAB11-10"
britannica.com,"IAB5",
dailymotion.com,"IAB27","IAB27-8"
go.ramforumz.com,"IAB2","IAB2-3"
merriam.com,"IAB5","IAB5-11"
go.subaruforester.org,"IAB2","IAB2-3"
microsoftcasualgames.com,"IAB29","IAB29-2"
tomsguide.com,"IAB26","IAB26-8"
mako.co.il,"IAB16","IAB16-10"
go.hyundai-forums.com,"IAB2","IAB2-4"
genius.com,"IAB15",
spanishdict.com,"IAB5","IAB5-11"
cbssports.com,"IAB24",
emmikochteinfach.de,"IAB9","IAB9-12"
buzzfeed.com,"IAB19","IAB19-1"
mobalytics.gg,"IAB29","IAB29-7"
go.vwvortex.com,"IAB12","IAB12-5"
speedtest.net,"IAB26","IAB26-7"
outdoorrevival.com,"IAB6","IAB6-11"
cardgames.io,"IAB11","IAB11-6"
thesun.co.uk,"IAB16","IAB16-10"
marmiton.org,"IAB9","IAB9-12"
fanrecap.com,"IAB24",
eluniversal.com.mx,"IAB16","IAB16-10"
photopea.com,"IAB26","IAB26-27"
gumtree.com,"IAB23","IAB23-5"
signupgenius.com,"IAB26","IAB26-24"
sudoku.com,"IAB11","IAB11-4"
maxroll.gg,"IAB29","IAB29-7"
ladbible.com,"IAB19","IAB19-2"
biblegateway.com,"IAB21","IAB21-5"
mumsnet.com,"IAB7","IAB7-5"
merkur.de,"IAB16","IAB16-10"
legacy.com,"IAB16","IAB16-2"
apnews.com,"IAB16","IAB16-10"
dailymail.com,"IAB16","IAB16-10"
vecernji.hr,"IAB16","IAB16-10"
ign.com,"IAB29","IAB29-7"
bbcgoodfood.com,"IAB9","IAB9-12"
webmd.com,"IAB13",
amomama.com,"IAB19","IAB19-1"
fr.de,"IAB16","IAB16-10"
uol.com.br,"IAB16","IAB16-10"
independent.co.uk,"IAB16","IAB16-10"
zerogpt.com,"IAB26","IAB26-1"
web.de,"IAB16","IAB16-10"
infobae.com,"IAB16","IAB16-10"
gbnews.com,"IAB16","IAB16-10"
physicsandmathstutor.com,"IAB5","IAB5-9"
focus.de,"IAB16","IAB16-10"
cbsnews.com,"IAB16","IAB16-10"
cnet.com,"IAB26","IAB26-12"
wallstreet-online.de,"IAB3","IAB3-1"
crosswordclub.com,"IAB11","IAB11-4"
doctissimo.fr,"IAB13","IABnull"
24sata.hr,"IAB16","IAB16-9"
vanitatis.elconfidencial.com,"IAB19","IAB19-1"
mediotiempo.com,"IAB24","IAB24-18"
index.hr,"IAB16","IAB16-10"
cargurus.com,"IAB2","IAB2-3"
chatib.us,"IAB7","IAB7-1"
dailypassport.com,"IAB28",
climatempo.com.br,"IAB22","IAB22-10"
klix.ba,"IAB16","IAB16-10"
sport.de,"IAB24","IAB24-18"
mail1.libero.it,"IAB26","IAB26-14"
the-sun.com,"IAB16","IAB16-10"
20min.ch,"IAB16","IAB16-10"
bustednewspaper.com,"IAB30","IAB30-1"
pcgamer.com,"IAB29","IAB29-10"
motor1.com,"IAB2","IAB2-4"
word.tips,"IAB11","IAB11-4"
n12.co.il,"IAB16","IAB16-10"
rtings.com,"IAB23","IAB23-2"
tyla.com,"IAB19","IAB19-1"
timesofindia.indiatimes.com,"IAB16","IAB16-10"
milb.com,"IAB24","IAB24-3"
kurir.rs,"IAB16","IAB16-10"
coolmathgames.com,"IAB29","IAB29-2"
betterreport.com,"IAB10",
motherhoodlifebalance.com,"IAB7","IAB7-5"
goal.com,"IAB24","IAB24-18"
deadline.com,"IAB1",
grazia.fr,"IAB25","IAB25-4"
sportskeeda.com,"IAB24",
go.tractor.com,"IAB1","IAB1-4"
sciencealert.com,"IAB22",
elconfidencial.com,"IAB16","IAB16-10"
pink.rs,"IAB16","IAB16-10"
thedailybeast.com,"IAB16","IAB16-11"
op.gg,"IAB29","IAB29-7"
metropoles.com,"IAB16","IAB16-10"
express.co.uk,"IAB16","IAB16-10"
tsn.ua,"IAB16","IAB16-10"
variety.com,"IAB1",
newsweek.com,"IAB16","IAB16-10"
unian.ua,"IAB16","IAB16-10"
worldatlas.com,"IAB22","IAB22-6"
collider.com,"IAB14","IAB14-9"
stocktwits.com,"IAB3","IAB3-7"
hna.de,"IAB16","IAB16-9"
horoscope.com,"IAB22","IAB22-1"
watson.ch,"IAB16","IAB16-10"
wikihow.com,"IAB5",
cronista.com,"IAB16","IAB16-4"
malteskitchen.de,"IAB9","IAB9-12"
geoguessr.com,"IAB29","IAB29-2"
in.mail.yahoo.com,"IAB26","IAB26-14"
beebom.com,"IAB26","IAB26-14"
boston.com,"IAB16","IAB16-9"
ilfattoquotidiano.it,"IAB16","IAB16-10"
larazon.es,"IAB16","IAB16-10"
edhrec.com,"IAB11","IAB11-29"
hurriyet.com.tr,"IAB16","IAB16-10"
bustimes.org,"IAB28",
wenxuecity.com,"IAB16","IAB16-10"
sozcu.com.tr,"IAB16","IAB16-10"
khaleejtimes.com,"IAB16","IAB16-7"
filmstarts.de,"IAB14",
futura-sciences.com,"IAB22",
lesnumeriques.com,"IAB26","IAB26-8"
ladepeche.fr,"IAB16","IAB16-9"
hotnews.ro,"IAB16","IAB16-11"
worldstar.com,"IAB19","IAB19-4"
thesaurus.com,"IAB5","IAB5-11"
familydestinationsguide.com,"IAB28","IAB28-6"
sinoptik.ua,"IAB22","IAB22-10"
lanacion.com.ar,"IAB16","IAB16-10"
drudgereport.com,"IAB16","IAB16-10"
motorsport.com,"IAB24","IAB24-2"
mapgenie.io,"IAB29","IAB29-7"
sain-et-naturel.ouest-france.fr,"IAB22","IAB22-4"
gamestar.de,"IAB29","IAB29-7"
libero.it,"IAB16","IAB16-10"
arkadium.com,"IAB29","IAB29-2"
thewrap.com,"IAB1",
finviz.com,"IAB17","IAB17-11"
space.com,"IAB22","IAB22-9"
scitechdaily.com,"IAB22",
worldle.teuteuf.fr,"IAB29","IAB29-2"
mister.mundodeportivo.com,"IAB24","IAB24-14"
globes.co.il,"IAB3","IAB3-1"
netmums.com,"IAB7","IAB7-5"
go.diymobileaudio.com,"IAB2","IAB2-4"
dealnews.com,"IAB23","IAB23-2"
investing.com,"IAB17","IAB17-7"
jutarnji.hr,"IAB16","IAB16-10"
virgilio.it,"IAB16","IAB16-9"
hollywoodreporter.com,"IAB1",
boredpanda.com,"IAB19","IAB19-4"
clickpetroleoegas.com.br,"IAB16","IAB16-4"
yourdictionary.com,"IAB5",
aljazeera.com,"IAB16","IAB16-7"
m.tvspielfilm.de,"IAB27","IAB27-8"
gamingbible.com,"IAB29","IAB29-7"
theshot.com,"IAB14","IAB14-9"
someecards.com,"IAB1","IAB1-4"
fortune.com,"IAB3","IAB3-1"
tomshardware.com,"IAB26","IAB26-6"
healthyglam.net,"IAB10","IAB10-4"
radio-south-africa.co.za,"IAB15",
oilprice.com,"IAB3","IAB3-1"
notebookcheck.com,"IAB26","IAB26-8"
marqueur.com,"IAB24","IAB24-14"
tvinsider.com,"IAB27",
b92.net,"IAB16","IAB16-10"
adorocinema.com,"IAB14",
sportingnews.com,"IAB24",
nw.de,"IAB16","IAB16-9"
wheelofnames.com,"IAB26","IAB26-24"
20minutos.es,"IAB16","IAB16-10"
spox.com,"IAB24","IAB24-18"
wetteronline.de,"IAB22","IAB22-10"
ocregister.com,"IAB16","IAB16-9"
dictionary.com,"IAB5","IAB5-11"
nova.rs,"IAB16","IAB16-11"
online-stopwatch.com,"IAB26","IAB26-24"
knowt.com,"IAB5","IAB5-9"
rightmove.co.uk,"IAB20","IAB20-3"
adnkronos.com,"IAB16","IAB16-10"
ukr.net,"IAB16","IAB16-10"
freegames.org,"IAB29","IAB29-2"
rollingstone.com,"IAB15",
bubbleshooter.net,"IAB29","IAB29-2"
sporcle.com,"IAB11","IAB11-4"
feathermc.com,"IAB29","IAB29-7"
radio-espana.es,"IAB15",
thingiverse.com,"IAB26","IAB26-18"
heute.at,"IAB16","IAB16-10"
sciencedaily.com,"IAB22",
